Reference,RefVisible,Value,ValVisible,xPos,yPos,Orientation,LayerName,IsFlipped
U2,True,BB-4056,True,73990200.0,34036000.0,0.0,F.Cu,False
U1,True,DFPlayer_Mini,True,105105000.0,35941000.0,180.0,F.Cu,False
J11,True,ICSP,True,98856800.0,35991800.0,90.0,F.Cu,False
J10,True,SPEAKER,True,67445400.0,61465900.0,270.0,F.Cu,False
J9,True,Batt,True,67445400.0,52767300.0,270.0,F.Cu,False
J8,True,PWR_SW,True,67445400.0,44005200.0,270.0,F.Cu,False
U3,True,Sparkfun_Pro_Micro,True,125248000.0,43586400.0,0.0,F.Cu,False
J18,True,AudioJack,True,88366600.0,33172400.0,270.0,F.Cu,False
C1,True,1.5F,True,75387200.0,45351700.0,90.0,F.Cu,False
J1,True,IR_RX,True,137004000.0,66941100.0,90.0,F.Cu,False
J2,True,IR_TX,True,73228200.0,53403500.0,270.0,F.Cu,False
J3,True,VOL_TUNNER,True,137004000.0,55206900.0,90.0,F.Cu,False
R1,True,1K,True,136804000.0,38705700.0,90.0,F.Cu,False
J4,True,I2C,True,122542000.0,64912200.0,90.0,F.Cu,False
J5,True,ROW1,True,68306400.0,72585900.0,90.0,F.Cu,False
J14_GPIO1,True,Conn_03x04_Odd_Even_VSG,True,104877000.0,52123300.0,90.0,F.Cu,False
J15_GPIO2,True,Conn_03x04_Odd_Even_VSG,True,78066900.0,61645800.0,90.0,F.Cu,False
J16_GPIO3,True,Conn_03x04_Odd_Even_VSG,True,91471900.0,61633100.0,90.0,F.Cu,False
J17_GPIO4,True,Conn_03x04_Odd_Even_VSG,True,104877000.0,61633100.0,90.0,F.Cu,False
D1,True,SM340A,True,90384300.0,43841000.0,180.0,F.Cu,False
D2,True,SM340A,True,82854800.0,43841000.0,0.0,F.Cu,False
J12,True,TFT_LCD,True,82219800.0,48602900.0,90.0,F.Cu,False
JP1,True,SolderJumper_2_Bridged,True,63182500.0,34683700.0,0.0,F.Cu,False
JP2,True,SolderJumper_2_Open,True,63220600.0,38938200.0,0.0,F.Cu,False
JP3,True,SolderJumper_2_Open,True,82510600.0,53403500.0,90.0,F.Cu,False
JP4,True,SolderJumper_2_Bridged,True,86357400.0,53403500.0,90.0,F.Cu,False
JP5,True,SolderJumper_2_Open,True,99326700.0,49034700.0,0.0,F.Cu,False
J13,True,SDCard_Conn,True,91478100.0,53213000.0,90.0,F.Cu,False
JP6,True,SolderJumper_2_Open,True,78663800.0,53403500.0,90.0,F.Cu,False
J6,True,ROW2,True,91468700.0,72585900.0,90.0,F.Cu,False
J7,True,ROW3,True,114631000.0,72585900.0,90.0,F.Cu,False
